Date,Open,High,Low,Close,Adj Close,Volume
2019-10-10,708.049988,718.849976,703.500000,711.299988,649.217773,1507268
2019-10-11,701.299988,723.900024,697.500000,721.450012,658.481995,3785425
2019-10-14,721.000000,728.650024,717.450012,720.750000,657.843018,1871571
2019-10-15,724.000000,729.000000,719.000000,720.500000,657.614868,1482881
2019-10-16,720.099976,729.750000,717.700012,727.700012,664.186401,2114943
2019-10-17,725.000000,731.000000,715.950012,724.349976,661.128723,2177984
2019-10-18,724.450012,737.750000,722.700012,734.200012,670.119202,2907649
2019-10-22,727.400024,732.000000,714.299988,717.650024,655.013672,2825230
2019-10-23,717.650024,734.400024,716.349976,726.599976,663.182434,2143330
2019-10-24,730.000000,745.000000,724.400024,726.349976,662.954285,2888332
2019-10-25,730.900024,730.900024,701.200012,720.950012,658.025574,2785014
2019-10-27,723.000000,737.400024,718.500000,726.750000,663.319397,194159
2019-10-29,728.000000,763.000000,725.099976,754.750000,688.875549,3292048
2019-10-30,762.000000,764.799988,745.549988,754.400024,688.556152,2232609
2019-10-31,754.950012,759.349976,736.599976,739.000000,674.500122,4178139
2019-11-01,740.900024,764.000000,740.000000,760.450012,694.078064,4136257
2019-11-04,760.450012,777.599976,753.450012,769.500000,702.338135,4936914
2019-11-05,772.000000,775.549988,764.799988,773.250000,705.760864,3303839
2019-11-06,784.000000,784.000000,767.599976,771.900024,704.528687,9486591
2019-11-07,775.000000,775.000000,765.049988,769.700012,702.520691,2060900
2019-11-08,772.000000,777.849976,770.299988,771.349976,704.026672,2368591
2019-11-11,769.950012,774.500000,768.049988,770.400024,703.159668,1345883
2019-11-13,768.000000,773.799988,746.000000,757.049988,690.974731,2434874
2019-11-14,756.000000,763.500000,748.299988,758.349976,692.161255,2564424
2019-11-15,758.349976,763.250000,749.299988,751.950012,686.319946,1787358
2019-11-18,752.000000,758.299988,747.500000,751.799988,686.183044,2216434
2019-11-19,754.000000,766.000000,752.000000,763.150024,696.542358,2725437
2019-11-20,764.900024,773.000000,755.950012,771.400024,704.072388,2343750
2019-11-21,775.000000,780.000000,762.799988,765.150024,698.367859,2102137
2019-11-22,765.000000,765.000000,742.799988,754.200012,688.373535,1819912
2019-11-25,754.200012,765.700012,750.849976,763.549988,696.907410,1837243
2019-11-26,766.000000,767.849976,756.299988,763.599976,696.953064,2968850
2019-11-27,762.849976,769.549988,757.349976,767.549988,700.558350,1369944
2019-11-28,765.150024,772.099976,762.000000,766.250000,699.371765,1096867
2019-11-29,766.000000,772.349976,758.400024,761.450012,694.990723,1236902
2019-12-02,758.099976,759.900024,732.299988,748.450012,683.125427,4333335
2019-12-03,748.049988,756.700012,743.299988,746.250000,681.117371,1838085
2019-12-04,746.900024,761.500000,743.549988,758.799988,692.572083,1870954
2019-12-05,755.000000,766.750000,752.099976,764.900024,698.139648,2475102
2019-12-06,763.200012,771.349976,755.549988,757.500000,691.385498,1092422
2019-12-09,759.450012,759.450012,746.500000,750.349976,684.859558,1435556
2019-12-10,749.950012,749.950012,737.299988,744.950012,679.930847,1582428
2019-12-11,741.000000,760.000000,741.000000,757.950012,691.796204,1644499
2019-12-12,761.000000,766.000000,752.500000,756.450012,690.427185,1184008
2019-12-13,758.950012,763.950012,748.250000,761.849976,695.355713,2019424
2019-12-16,762.700012,784.000000,759.000000,773.299988,705.806458,5810893
2019-12-17,775.549988,782.000000,772.599976,777.349976,709.502869,2421510
2019-12-18,780.099976,794.000000,780.099976,786.650024,717.991333,5676894
2019-12-19,790.000000,790.000000,778.099976,782.750000,714.431641,2099931
2019-12-20,784.049988,787.700012,778.000000,783.349976,714.979309,2092547
2019-12-23,778.599976,787.400024,774.950012,775.950012,708.225220,1887292
2019-12-24,776.000000,777.950012,767.599976,772.049988,704.665527,1413973
2019-12-26,771.000000,779.049988,768.049988,770.400024,703.159668,1276520
2019-12-27,771.000000,781.400024,769.099976,780.200012,712.104248,1363474
2019-12-30,782.700012,784.849976,779.099976,782.700012,714.386108,1055528
2019-12-31,780.049988,780.950012,760.000000,762.299988,695.766541,3004887
2020-01-01,766.000000,766.799988,760.349976,762.099976,695.583984,746371
2020-01-02,762.099976,769.150024,761.000000,766.049988,699.189270,1133488
2020-01-03,766.000000,779.900024,763.549988,775.099976,707.449341,2121704
2020-01-06,774.849976,778.799988,768.150024,770.400024,703.159668,1734439
2020-01-07,770.000000,778.500000,760.599976,777.099976,709.274841,1937143
2020-01-08,770.099976,784.900024,767.099976,769.799988,702.611938,2596664
2020-01-09,770.500000,776.450012,762.200012,773.650024,706.125977,1678891
2020-01-10,779.000000,781.900024,772.450012,776.250000,708.499084,1105725
2020-01-13,779.900024,788.700012,775.049988,785.849976,717.261047,1393509
2020-01-14,785.849976,797.799988,783.700012,796.250000,726.753357,1628535
2020-01-15,796.150024,803.650024,788.500000,795.150024,725.749451,1759644
2020-01-16,793.000000,795.700012,781.099976,782.849976,714.522888,1110008
2020-01-17,783.500000,786.750000,775.500000,778.450012,710.507019,989312
2020-01-20,778.500000,785.450012,774.549988,778.200012,710.278748,1620105
